sentence,relation,rel_to_entity1,rel_to_entity2,entity1_to_entity2,entity2_to_entity1,asymmetry_r,asymmetry_e,direction_correct
a yellow rectangle is above a circle .,above,0.04241943359375,0.0,0.0,0.032196044921875,0.04241943359375,-0.032196044921875,True
a cross is to the right of a rectangle .,right,0.01995849609375,0.0,0.0,0.00948333740234375,0.01995849609375,-0.00948333740234375,True
a cross is above a magenta square .,above,0.0261077880859375,0.0,0.0,0.01068878173828125,0.0261077880859375,-0.01068878173828125,True
a green circle is above a yellow square .,above,0.03863525390625,0.0,0.0,0.0237579345703125,0.03863525390625,-0.0237579345703125,True
a magenta triangle is to the right of a square .,right,0.032867431640625,0.0,0.0,0.0267486572265625,0.032867431640625,-0.0267486572265625,True
a green cross is to the left of a magenta circle .,left,0.02679443359375,0.0,0.0,0.0120391845703125,0.02679443359375,-0.0120391845703125,False
a gray triangle is to the right of a cyan triangle .,right,0.035125732421875,0.0,0.0,0.01995849609375,0.035125732421875,-0.01995849609375,True
a magenta cross is below a blue triangle .,below,0.0355224609375,0.0,0.0,0.021026611328125,0.0355224609375,-0.021026611328125,False
a green triangle is below a cross .,below,0.044921875,0.0,0.0,0.03289794921875,0.044921875,-0.03289794921875,False
a yellow rectangle is above a gray triangle .,above,0.04241943359375,0.0,0.0,0.026641845703125,0.04241943359375,-0.026641845703125,True
a triangle is above a rectangle .,above,0.04827880859375,0.0,0.0,0.0304107666015625,0.04827880859375,-0.0304107666015625,True
a triangle is above a circle .,above,0.04827880859375,0.0,0.0,0.03033447265625,0.04827880859375,-0.03033447265625,True
a blue circle is to the left of a blue cross .,left,0.030853271484375,0.0,0.0,0.0166473388671875,0.030853271484375,-0.0166473388671875,False
a magenta square is to the left of a magenta circle .,left,0.0301361083984375,0.0,0.0,0.01641845703125,0.0301361083984375,-0.01641845703125,False
